stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
SD,South Dakota,Corson,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,31.4,24.0
SC,South Carolina,Berkeley,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,78.8,78.6
OK,Oklahoma,Latimer,COGNITION,Cognitive disability among adults,Disability,22.1,20.4
OR,Oregon,Morrow,PHLTH,Frequent physical distress among adults,Health Status,16.7,16.4
SC,South Carolina,Marlboro,GHLTH,Fair or poor self-rated health status among adults,Health Status,30.5,26.9
OK,Oklahoma,Woodward,HEARING,Hearing disability among adults,Disability,8.4,8.2
OK,Oklahoma,Comanche,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44.0,42.3
SC,South Carolina,Chesterfield,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
SC,South Carolina,Dillon,SELFCARE,Self-care disability among adults,Disability,7.0,5.4
SC,South Carolina,Bamberg,BPHIGH,High blood pressure among adults,Health Outcomes,41.0,39.8
SC,South Carolina,Lee,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.3,78.9
OK,Oklahoma,Johnston,INDEPLIVE,Independent living disability among adults,Disability,11.9,11.6
OR,Oregon,Malheur,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,27.5,24.0
OK,Oklahoma,Coal,GHLTH,Fair or poor self-rated health status among adults,Health Status,26.9,26.9
SC,South Carolina,McCormick,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.3,78.9
SC,South Carolina,Union,CHD,Coronary heart disease among adults,Health Outcomes,7.0,7.0
SD,South Dakota,Haakon,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
RI,Rhode Island,Kent,CHOLSCREEN,Cholesterol screening among adults,Prevention,87.9,85.9
TN,Tennessee,Bledsoe,CHD,Coronary heart disease among adults,Health Outcomes,7.7,7.0
SD,South Dakota,Dewey,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.7,24.0
OK,Oklahoma,Harmon,DISABILITY,Any disability among adults,Disability,41.4,39.4
TN,Tennessee,Bedford,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,34.9,34.8
SC,South Carolina,Kershaw,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,62.6,62.5
SC,South Carolina,Laurens,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.1,62.5
OR,Oregon,Sherman,DEPRESSION,Depression among adults,Health Outcomes,28.9,28.4
SD,South Dakota,Deuel,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
SC,South Carolina,Lee,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,33.1,26.2
SC,South Carolina,Marion,VISION,Vision disability among adults,Disability,9.2,7.6
SD,South Dakota,Bennett,GHLTH,Fair or poor self-rated health status among adults,Health Status,29.9,26.9
PA,Pennsylvania,Indiana,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.0,78.6
OK,Oklahoma,Delaware,DISABILITY,Any disability among adults,Disability,41.9,39.4
SC,South Carolina,Darlington,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,81.3,78.9
OK,Oklahoma,Garvin,CASTHMA,Current asthma among adults,Health Outcomes,11.8,11.8
SC,South Carolina,Allendale,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,33.9,29.0
OR,Oregon,Klamath,CASTHMA,Current asthma among adults,Health Outcomes,12.7,11.8
TN,Tennessee,Claiborne,DEPRESSION,Depression among adults,Health Outcomes,32.2,28.4
OK,Oklahoma,McIntosh,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
SD,South Dakota,Hyde,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
TN,Tennessee,Cocke,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,27.8,24.0
OR,Oregon,Linn,CASTHMA,Current asthma among adults,Health Outcomes,12.6,11.8
TN,Tennessee,Carroll,ARTHRITIS,Arthritis among adults,Health Outcomes,29.0,28.0
OK,Oklahoma,Delaware,HEARING,Hearing disability among adults,Disability,9.6,8.2
SC,South Carolina,Union,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,27.8,26.2
TN,Tennessee,Cocke,DEPRESSION,Depression among adults,Health Outcomes,32.9,28.4
SC,South Carolina,Dillon,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,35.0,26.2
SC,South Carolina,Charleston,BINGE,Binge drinking among adults,Health Risk Behaviors,22.9,21.6
OK,Oklahoma,Craig,HEARING,Hearing disability among adults,Disability,9.8,8.2
OK,Oklahoma,Ottawa,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.0,24.0
SC,South Carolina,Lee,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.7,34.3
SD,South Dakota,Oglala Lakota,OBESITY,Obesity among adults,Health Outcomes,47.7,43.0
OK,Oklahoma,Garvin,HEARING,Hearing disability among adults,Disability,9.0,8.2
OK,Oklahoma,Coal,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.0,13.4
SD,South Dakota,Mellette,DIABETES,Diagnosed diabetes among adults,Health Outcomes,18.3,14.2
TN,Tennessee,Carter,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.2,20.8
OK,Oklahoma,McCurtain,MOBILITY,Mobility disability among adults,Disability,18.8,17.75
OK,Oklahoma,Haskell,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.3,20.8
OK,Oklahoma,Okfuskee,DISABILITY,Any disability among adults,Disability,44.7,39.4
TN,Tennessee,Cumberland,DEPRESSION,Depression among adults,Health Outcomes,32.4,28.4
OR,Oregon,Douglas,CASTHMA,Current asthma among adults,Health Outcomes,13.1,11.8
SC,South Carolina,Darlington,OBESITY,Obesity among adults,Health Outcomes,45.6,43.0
TN,Tennessee,Coffee,DEPRESSION,Depression among adults,Health Outcomes,30.8,28.4
OK,Oklahoma,Craig,COGNITION,Cognitive disability among adults,Disability,21.2,20.4
OK,Oklahoma,Coal,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.1,14.3
OK,Oklahoma,Delaware,ARTHRITIS,Arthritis among adults,Health Outcomes,28.1,28.0
SC,South Carolina,Marion,MOBILITY,Mobility disability among adults,Disability,20.4,17.75
SC,South Carolina,Marion,OBESITY,Obesity among adults,Health Outcomes,45.2,43.0
OK,Oklahoma,Sequoyah,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.5,14.3
OK,Oklahoma,Johnston,DISABILITY,Any disability among adults,Disability,43.5,39.4
OK,Oklahoma,Marshall,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,35.2,34.3
SC,South Carolina,Williamsburg,STROKE,Stroke among adults,Health Outcomes,4.6,4.1
OR,Oregon,Crook,CASTHMA,Current asthma among adults,Health Outcomes,12.2,11.8
OK,Oklahoma,Sequoyah,MOBILITY,Mobility disability among adults,Disability,19.6,17.75
OK,Oklahoma,Craig,MOBILITY,Mobility disability among adults,Disability,18.8,17.75
SC,South Carolina,Barnwell,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,23.7,22.1
TN,Tennessee,Carroll,DEPRESSION,Depression among adults,Health Outcomes,31.1,28.4
OK,Oklahoma,Seminole,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
SC,South Carolina,Orangeburg,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,23.3,20.2
SD,South Dakota,Oglala Lakota,COGNITION,Cognitive disability among adults,Disability,27.1,20.4
SD,South Dakota,Campbell,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
OK,Oklahoma,McIntosh,CHD,Coronary heart disease among adults,Health Outcomes,7.6,7.0
SD,South Dakota,Mellette,CASTHMA,Current asthma among adults,Health Outcomes,13.3,11.8
TN,Tennessee,Cheatham,DEPRESSION,Depression among adults,Health Outcomes,29.4,28.4
OK,Oklahoma,Delaware,CASTHMA,Current asthma among adults,Health Outcomes,12.5,11.8
SD,South Dakota,Todd,PHLTH,Frequent physical distress among adults,Health Status,22.7,16.4
OR,Oregon,Deschutes,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.3,78.6
SD,South Dakota,Corson,DIABETES,Diagnosed diabetes among adults,Health Outcomes,18.3,14.2
SD,South Dakota,Dewey,MOBILITY,Mobility disability among adults,Disability,19.8,17.75
TN,Tennessee,Claiborne,ARTHRITIS,Arthritis among adults,Health Outcomes,29.7,28.0
OK,Oklahoma,Coal,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,27.0,26.2
SD,South Dakota,Yankton,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,69.2,67.4
OK,Oklahoma,Craig,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,28.7,24.0
SC,South Carolina,Dillon,BPHIGH,High blood pressure among adults,Health Outcomes,43.2,39.8
SC,South Carolina,Williamsburg,MOBILITY,Mobility disability among adults,Disability,18.3,17.75
OK,Oklahoma,Pontotoc,HEARING,Hearing disability among adults,Disability,8.3,8.2
SD,South Dakota,Perkins,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,71.6,67.4
PA,Pennsylvania,Butler,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,69.8,67.4
OK,Oklahoma,McCurtain,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.7,20.8
OR,Oregon,Umatilla,CASTHMA,Current asthma among adults,Health Outcomes,12.0,11.8
OK,Oklahoma,Seminole,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.9,9.1
SC,South Carolina,Allendale,SELFCARE,Self-care disability among adults,Disability,6.9,5.4
SC,South Carolina,Marlboro,CHD,Coronary heart disease among adults,Health Outcomes,7.3,7.0
SD,South Dakota,Mellette,INDEPLIVE,Independent living disability among adults,Disability,15.9,11.6
SC,South Carolina,Richland,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.5,85.9
OR,Oregon,Hood River,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.1,78.6
SD,South Dakota,Union,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,71.2,67.4
TN,Tennessee,Bledsoe,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,25.5,20.8
OK,Oklahoma,Hughes,COGNITION,Cognitive disability among adults,Disability,20.5,20.4
SD,South Dakota,Brown,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,70.3,67.4
SC,South Carolina,Orangeburg,MOBILITY,Mobility disability among adults,Disability,17.9,17.75
RI,Rhode Island,Washington,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,83.2,78.9
OK,Oklahoma,Ellis,HEARING,Hearing disability among adults,Disability,8.3,8.2
OK,Oklahoma,McIntosh,OBESITY,Obesity among adults,Health Outcomes,44.9,43.0
SC,South Carolina,Marion,DIABETES,Diagnosed diabetes among adults,Health Outcomes,17.7,14.2
SD,South Dakota,Ziebach,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,30.8,20.8
OK,Oklahoma,Okfuskee,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.4,9.1
SD,South Dakota,Marshall,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,69.3,67.4
OK,Oklahoma,Okmulgee,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,36.0,34.3
OK,Oklahoma,Comanche,HEARING,Hearing disability among adults,Disability,8.2,8.2
SD,South Dakota,Jackson,PHLTH,Frequent physical distress among adults,Health Status,18.9,16.4
SC,South Carolina,Dillon,OBESITY,Obesity among adults,Health Outcomes,45.3,43.0
SC,South Carolina,Saluda,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,17.4,17.1
OR,Oregon,Harney,MHLTH,Frequent mental distress among adults,Health Status,21.4,21.0
SC,South Carolina,Union,GHLTH,Fair or poor self-rated health status among adults,Health Status,26.9,26.9
SC,South Carolina,Union,BPHIGH,High blood pressure among adults,Health Outcomes,40.6,39.8
OK,Oklahoma,Ellis,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,24.0,24.0
SD,South Dakota,Oglala Lakota,SELFCARE,Self-care disability among adults,Disability,10.8,5.4
OK,Oklahoma,Latimer,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.0,13.4
SC,South Carolina,Dillon,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.2,78.9
SD,South Dakota,Corson,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,11.4,9.1
SC,South Carolina,Horry,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
OK,Oklahoma,Jefferson,MOBILITY,Mobility disability among adults,Disability,18.3,17.75
SD,South Dakota,Bennett,MOBILITY,Mobility disability among adults,Disability,20.3,17.75
SC,South Carolina,Williamsburg,GHLTH,Fair or poor self-rated health status among adults,Health Status,27.3,26.9
OK,Oklahoma,Seminole,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.7,34.8
SC,South Carolina,McCormick,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.8,62.5
PA,Pennsylvania,Montgomery,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,70.2,67.4
OK,Oklahoma,Jefferson,COGNITION,Cognitive disability among adults,Disability,20.6,20.4
OK,Oklahoma,Seminole,VISION,Vision disability among adults,Disability,7.9,7.6
SD,South Dakota,Buffalo,INDEPLIVE,Independent living disability among adults,Disability,15.1,11.6
SC,South Carolina,Barnwell,OBESITY,Obesity among adults,Health Outcomes,44.3,43.0
TN,Tennessee,Campbell,DEPRESSION,Depression among adults,Health Outcomes,32.5,28.4
OK,Oklahoma,Sequoyah,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,23.4,20.8
OR,Oregon,Deschutes,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,71.5,67.4
SC,South Carolina,Marlboro,PHLTH,Frequent physical distress among adults,Health Status,17.4,16.4
SD,South Dakota,Corson,PHLTH,Frequent physical distress among adults,Health Status,19.5,16.4
SC,South Carolina,Greenville,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.7,63.1
OK,Oklahoma,Okfuskee,CHD,Coronary heart disease among adults,Health Outcomes,8.2,7.0
OK,Oklahoma,Latimer,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
SD,South Dakota,Todd,VISION,Vision disability among adults,Disability,16.3,7.6
SD,South Dakota,Oglala Lakota,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,15.0,9.1
OK,Oklahoma,Muskogee,CASTHMA,Current asthma among adults,Health Outcomes,12.6,11.8
SC,South Carolina,Barnwell,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,65.5,62.5
SC,South Carolina,Chesterfield,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.8,14.2
SC,South Carolina,Hampton,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,65.8,62.5
OK,Oklahoma,Washita,HEARING,Hearing disability among adults,Disability,8.5,8.2
SC,South Carolina,Allendale,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,36.6,34.3
SD,South Dakota,Dewey,PHLTH,Frequent physical distress among adults,Health Status,18.1,16.4
SC,South Carolina,Marlboro,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,16.4,13.4
SD,South Dakota,Dewey,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,29.7,20.8
SD,South Dakota,Todd,MOBILITY,Mobility disability among adults,Disability,27.2,17.75
SD,South Dakota,Hanson,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,69.4,67.4
PA,Pennsylvania,Bucks,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.0,63.1
OK,Oklahoma,Johnston,CHD,Coronary heart disease among adults,Health Outcomes,7.6,7.0
SD,South Dakota,Grant,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
OK,Oklahoma,Ottawa,HEARING,Hearing disability among adults,Disability,9.8,8.2
SD,South Dakota,Hutchinson,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.8,7.6
RI,Rhode Island,Providence,CASTHMA,Current asthma among adults,Health Outcomes,12.4,11.8
TN,Tennessee,Anderson,ARTHRITIS,Arthritis among adults,Health Outcomes,28.8,28.0
OK,Oklahoma,Seminole,COGNITION,Cognitive disability among adults,Disability,22.0,20.4
